trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.35, 'e': 0.8989999999999999}",20,0,-198.14382166385414,"{0: 6, 1: 5, 2: 4, 3: 3, 4: 2}",0
102,False,"{'a': 0.35, 'e': 0.8979999999999999}",25,1,-25.997744665271533,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.35, 'e': 0.8969999999999999}",20,0,-86.59503260769151,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
104,False,"{'a': 0.35, 'e': 0.8959999999999999}",25,0,-34.47847926283794,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
105,False,"{'a': 0.35, 'e': 0.8949999999999999}",35,0,-66.27585880154011,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.35, 'e': 0.8939999999999999}",25,0,-77.92024383358913,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
107,False,"{'a': 0.35, 'e': 0.8929999999999999}",20,0,-92.12618743133791,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
108,False,"{'a': 0.35, 'e': 0.8919999999999999}",20,0,-129.79161221446964,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
109,False,"{'a': 0.35, 'e': 0.8909999999999999}",25,0,-136.4451334084285,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
110,False,"{'a': 0.35, 'e': 0.8899999999999999}",20,0,-228.8883375773434,"{0: 7, 1: 4, 2: 4, 3: 1, 4: 4}",0
111,False,"{'a': 0.35, 'e': 0.8889999999999999}",25,11,-48.59961991793192,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
112,False,"{'a': 0.35, 'e': 0.8879999999999999}",25,0,-101.73356041775806,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
113,False,"{'a': 0.35, 'e': 0.8869999999999999}",25,0,-115.94335044076092,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
114,False,"{'a': 0.35, 'e': 0.8859999999999999}",30,0,-239.08583070106192,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
115,False,"{'a': 0.35, 'e': 0.8849999999999999}",25,0,-150.29924507282584,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
116,False,"{'a': 0.35, 'e': 0.8839999999999999}",20,0,-95.98807768884335,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
